,room,table,project,tracks,link
64,,MLH: Best use of MongoDB Atlas4,LetStudy.Online,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143183-letstudy-online
65,,Most Creative Usage of Twitter API6,LetStudy.Online,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143183-letstudy-online
66,,C6,LetStudy.Online,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143183-letstudy-online
67,,MLH: Best Use of Google Cloud7,LetStudy.Online,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143183-letstudy-online
68,,MLH: Best Domain Registered with Domain.com4,LetStudy.Online,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143183-letstudy-online
69,,E6,SkoGreen Denver,Social Impact,https://hackcu-vi.devpost.com/submissions/143185-skogreen-denver
70,,MLH: Best Use of Google Cloud8,SkoGreen Denver,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143185-skogreen-denver
71,,B6,SkoGreen Denver,All Beginner,https://hackcu-vi.devpost.com/submissions/143185-skogreen-denver
72,,D4,EcoBuy,Sustainability,https://hackcu-vi.devpost.com/submissions/143186-ecobuy
73,,MLH: Best UiPath Automation Hack0,Getloc,MLH: Best UiPath Automation Hack,https://hackcu-vi.devpost.com/submissions/143187-getloc
74,,E7,Getloc,Social Impact,https://hackcu-vi.devpost.com/submissions/143187-getloc
75,,Most Creative Usage of Twitter API7,PostGold,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143190-postgold
76,,F7,PostGold,Most Random,https://hackcu-vi.devpost.com/submissions/143190-postgold
77,,Best Use of TapWithUS SDK4,Reverb,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143192-reverb
78,,nan2,COLORADO DRIVING TEST,,https://hackcu-vi.devpost.com/submissions/143193-colorado-driving-test
79,,Most Creative Usage of Twitter API8,Tweet Mood Graph,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143196-tweet-mood-graph
80,,B7,Tweet Mood Graph,All Beginner,https://hackcu-vi.devpost.com/submissions/143196-tweet-mood-graph
81,,nan3,C++ Runtime Reflection Engine,,https://hackcu-vi.devpost.com/submissions/143197-c-runtime-reflection-engine
82,,B8,Rizu Ogata,All Beginner,https://hackcu-vi.devpost.com/submissions/143198-rizu-ogata
83,,MLH: Best Use of Google Cloud9,Next Generation Networks with Telemetry Data,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143199-next-generation-networks-with-telemetry-data
84,,MLH: Best Domain Registered with Domain.com5,Next Generation Networks with Telemetry Data,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143199-next-generation-networks-with-telemetry-data
85,,Most Creative Usage of Twitter API9,Twitter Hashtag Race,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143200-twitter-hashtag-race
86,,C7,Twitter Hashtag Race,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143200-twitter-hashtag-race
88,,Best Use of Adobe XD4,Twitter Hashtag Race,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/143200-twitter-hashtag-race
89,,MLH: Best Use of Google Cloud10,Indian Premier League Visualizations,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143201-indian-premier-league-visualizations
